iter	Passed	Remaining
0	181	90752
1	198	49444
2	213	35363
3	228	28383
4	243	24140
5	259	21347
6	275	19371
7	289	17829
8	304	16616
9	321	15753
10	336	14966
11	351	14302
12	368	13787
13	383	13323
14	405	13126
15	421	12755
16	436	12401
17	452	12123
18	470	11902
19	490	11774
20	505	11534
21	520	11317
22	541	11222
23	556	11032
24	571	10856
25	586	10694
26	602	10547
27	617	10414
28	633	10295
29	653	10233
30	671	10153
31	686	10046
32	703	9951
33	720	9874
34	736	9785
35	751	9690
36	767	9605
37	782	9518
38	803	9501
39	819	9420
40	834	9345
41	849	9268
42	865	9198
43	881	9136
44	896	9068
45	912	9006
46	928	8944
47	947	8918
48	963	8865
49	978	8809
50	994	8754
51	1010	8701
52	1029	8682
53	1046	8645
54	1063	8606
55	1080	8568
56	1098	8535
57	1115	8497
58	1131	8460
59	1148	8419
60	1170	8421
61	1193	8432
62	1209	8392
63	1225	8350
64	1241	8307
65	1257	8267
66	1273	8230
67	1288	8187
68	1305	8151
69	1320	8114
70	1339	8092
71	1353	8046
72	1368	8004
73	1384	7967
74	1399	7928
75	1413	7883
76	1428	7844
77	1442	7802
78	1456	7760
79	1470	7721
80	1485	7682
81	1499	7644
82	1513	7604
83	1528	7569
84	1542	7533
85	1556	7493
86	1570	7454
87	1586	7426
88	1600	7390
89	1614	7354
90	1628	7318
91	1643	7288
92	1657	7253
93	1671	7219
94	1688	7200
95	1703	7169
96	1794	7454
97	1835	7528
98	1899	7693
99	1919	7677
100	1960	7745
101	1977	7715
102	1990	7671
103	2004	7630
104	2016	7587
105	2031	7551
106	2044	7510
107	2057	7469
108	2070	7426
109	2083	7386
110	2096	7345
111	2112	7318
112	2124	7277
113	2137	7238
114	2150	7199
115	2162	7159
116	2175	7120
117	2187	7081
118	2202	7052
119	2214	7013
120	2229	6982
121	2241	6945
122	2254	6909
123	2266	6872
124	2278	6835
125	2290	6799
126	2302	6763
127	2316	6732
128	2328	6696
129	2340	6662
130	2353	6628
131	2369	6605
132	2381	6572
133	2395	6541
134	2409	6515
135	2421	6481
136	2434	6450
137	2446	6417
138	2459	6386
139	2471	6354
140	2483	6322
141	2495	6292
142	2511	6270
143	2523	6239
144	2536	6210
145	2549	6180
146	2560	6149
147	2572	6119
148	2585	6089
149	2602	6072
150	2615	6044
151	2628	6018
152	2641	5990
153	2652	5960
154	2665	5932
155	2677	5903
156	2690	5877
157	2702	5849
158	2715	5822
159	2730	5802
160	2742	5775
161	2756	5750
162	2771	5730
163	2784	5704
164	2796	5678
165	2808	5651
166	2821	5625
167	2833	5599
168	2845	5573
169	2858	5548
170	2870	5522
171	2882	5496
172	2894	5471
173	2909	5450
174	2920	5424
175	2933	5399
176	2945	5374
177	2956	5348
178	2968	5323
179	2981	5301
180	2994	5277
181	3006	5252
182	3018	5229
183	3031	5206
184	3043	5182
185	3056	5159
186	3068	5136
187	3081	5113
188	3093	5091
189	3106	5068
190	3118	5045
191	3131	5023
192	3143	5000
193	3159	4984
194	3172	4961
195	3184	4939
196	3197	4918
197	3210	4896
198	3222	4874
199	3235	4852
200	3250	4834
201	3262	4813
202	3276	4794
203	3289	4772
204	3306	4758
205	3319	4737
206	3332	4717
207	3345	4697
208	3358	4676
209	3371	4655
210	3384	4635
211	3396	4613
212	3409	4593
213	3421	4572
214	3432	4550
215	3443	4527
216	3455	4506
217	3467	4485
218	3480	4465
219	3492	4444
220	3504	4423
221	3516	4403
222	3528	4383
223	3540	4362
224	3556	4347
225	3568	4326
226	3580	4306
227	3592	4286
228	3604	4266
229	3617	4246
230	3630	4227
231	3643	4208
232	3655	4189
233	3668	4170
234	3681	4151
235	3696	4134
236	3708	4115
237	3720	4095
238	3733	4077
239	3745	4057
240	3760	4041
241	3774	4024
242	3787	4005
243	3799	3986
244	3812	3967
245	3825	3949
246	3839	3933
247	3852	3914
248	3865	3896
249	3878	3878
250	3890	3859
251	3902	3840
252	3915	3822
253	3928	3804
254	3943	3788
255	3958	3772
256	3970	3754
257	3982	3735
258	3994	3716
259	3999	3692
260	4011	3673
261	4020	3651
262	4033	3634
263	4045	3616
264	4058	3599
265	4071	3581
266	4087	3567
267	4100	3549
268	4113	3532
269	4125	3514
270	4137	3496
271	4149	3478
272	4163	3461
273	4172	3441
274	4181	3421
275	4193	3403
276	4206	3386
277	4218	3369
278	4231	3351
279	4243	3334
280	4256	3317
281	4271	3301
282	4284	3285
283	4298	3269
284	4311	3252
285	4323	3235
286	4336	3218
287	4351	3203
288	4364	3186
289	4377	3169
290	4390	3153
291	4403	3136
292	4416	3120
293	4425	3100
294	4434	3081
